Year,Month,Day,Time,PriceUSD
2023,1,3,8:55,14.80
2023,1,3,9:35,14.86
2023,1,3,10:15,14.90
2023,1,3,10:55,14.90
2023,1,3,11:35,14.85
2023,1,3,12:15,15.10
2023,1,3,12:55,15.10
2023,1,3,13:35,14.95
2023,1,3,14:15,14.95
2023,1,3,14:55,15.04
2023,1,3,13:35,15.96
2023,1,3,16:15,16.10
2023,1,3,16:55,15.95
2023,1,3,17:35,15.95
2023,1,3,18:15,15.97
2023,1,3,18:55,15.97
2023,1,3,19:35,15.96
2023,1,3,20:15,15.96
2023,1,3,20:55,15.95
2023,1,3,21:35,15.96
2023,1,3,22:15,15.97
2023,1,3,22:55,15.95
2023,1,3,23:35,15.96
2023,1,3,23:15,15.97
2023,1,2,23:55,16.01
2023,1,2,23:35,16.01
2023,1,2,23:15,16.01
2023,1,2,22:55,16.01
2023,1,2,22:35,16.02
2023,1,2,22:15,16.03
2023,1,2,21:55,16.03
2023,1,2,21:35,16.05
2023,1,2,21:15,16.01
2023,1,2,20:55,16.02
2023,1,2,20:35,18.01
2023,1,2,20:15,18.02
2023,1,2,19:55,18.03
2023,1,2,19:35,18.04
2023,1,2,19:15,18.05
2023,1,2,18:55,18.06
2023,1,2,18:35,18.07
2023,1,2,18:15,18.08
2023,1,2,17:55,18.09
2023,1,2,17:35,18.10
2023,1,2,17:15,19.02
2023,1,2,16:55,19.03
2023,1,2,16:35,19
2023,1,2,16:15,19
2023,1,2,15:55,19
2023,1,2,15:35,19
2023,1,2,15:15,19
2023,1,2,14:55,19
2023,1,2,14:35,19
2023,1,2,14:15,18
2023,1,2,13:55,18
2023,1,2,13:35,19
2023,1,2,13:15,19
2023,1,2,12:55,19
2023,1,2,12:35,18
2023,1,2,12:15,18
2023,1,2,11:55,18
2023,1,2,11:35,18
2023,1,2,11:15,18
2023,1,2,10:55,18
2023,1,2,10:35,18
2023,1,2,10:15,18
2023,1,2,9:55,18
2023,1,2,9:35,18
2023,1,2,9:15,18
2023,1,2,8:55,18
2023,1,2,8:35,18
2023,1,2,8:15,18
2023,1,2,7:55,19
2023,1,2,7:35,19
2023,1,2,7:15,19
2023,1,2,6:55,19
2023,1,2,6:35,19
2023,1,2,6:15,19
2023,1,2,5:55,21
2023,1,2,5:35,21
2023,1,2,5:15,21
2023,1,2,4:55,21
2023,1,2,4:35,21
2023,1,2,4:15,21
2023,1,2,3:55,21
2023,1,2,3:35,21
2023,1,2,3:15,21
2023,1,2,2:55,21
2023,1,2,2:35,21
2023,1,2,2:15,21
2023,1,2,1:55,21
2023,1,2,1:35,21
2023,1,2,1:15,21
2023,1,2,0:55,21
2023,1,2,0:35,23
2023,1,2,0:15,23
2023,1,1,23:55,23
2023,1,1,23:35,23
2023,1,1,23:15,23
2023,1,1,22:55,23
2023,1,1,22:35,23
2023,1,1,22:15,23
2023,1,1,21:55,23
2023,1,1,21:35,23
2023,1,1,21:15,25
2023,1,1,20:55,25
2023,1,1,20:35,25
2023,1,1,20:15,25
2023,1,1,19:55,25
2023,1,1,19:35,25
2023,1,1,19:15,25
2023,1,1,18:55,25
2023,1,1,18:35,25
2023,1,1,18:15,25
2023,1,1,17:55,25
2023,1,1,17:35,25
2023,1,1,17:15,27
2023,1,1,16:55,27
2023,1,1,16:35,27
2023,1,1,16:15,27
2023,1,1,15:55,27
2023,1,1,15:35,27
2023,1,1,15:15,27
2023,1,1,14:55,27
2023,1,1,14:35,27
2023,1,1,14:15,27
2023,1,1,13:55,27
2023,1,1,13:35,27
2023,1,1,13:15,27
2023,1,1,12:55,27
2023,1,1,12:35,27
2023,1,1,12:15,27
2023,1,1,11:55,27
2023,1,1,11:35,27
2023,1,1,11:15,27
2023,1,1,10:55,27
2023,1,1,10:35,27
2023,1,1,10:15,27
2023,1,1,9:55,28
2023,1,1,9:35,28
2023,1,1,9:15,28
2023,1,1,8:55,28
2023,1,1,8:35,28
2023,1,1,8:15,28
2023,1,1,7:55,28
2023,1,1,7:35,28
2023,1,1,7:15,28
2023,1,1,6:55,28
2023,1,1,6:35,28
2023,1,1,6:15,28
2023,1,1,5:55,28
2023,1,1,5:35,28
2023,1,1,5:15,28
2023,1,1,4:55,28
2023,1,1,4:35,28
2023,1,1,4:15,28
2023,1,1,3:55,28
2023,1,1,3:35,28
2023,1,1,3:15,28
2023,1,1,2:55,28
2023,1,1,2:35,28
2023,1,1,2:15,27
2023,1,1,1:55,27
2023,1,1,1:35,27
2023,1,1,1:15,27
2023,1,1,0:55,27
2023,1,1,0:35,27
2023,1,1,0:15,27
